,X,Y,Z
0,4.076345013339993,1.0022602793399995,1.6635040979200013
1,4.152403800169999,1.0013348233000008,1.7251616320200014
2,4.228226870960001,1.0035688090499995,1.788074211989998
3,4.302272751630003,1.0032741208000002,1.8457834001599989
4,4.377021060409998,1.0040165867899993,1.9042599315600024
5,4.449537617889995,1.0081727020999995,1.962414697169999
6,4.522419001660003,1.0075887477199996,2.0189284386000033
7,4.59587526576,1.0053117913300007,2.0720902912100025
8,4.668967190109995,1.00630555798,2.1281155285000026
9,4.73953652377001,1.0080098551700003,2.179289201430002
10,4.810778719209997,1.0062283102799996,2.2338157076100043
11,4.881130962500008,1.0093800055600004,2.2832269624799992
12,4.9453221709799955,1.0389697331000003,2.3287000496399988
13,5.021757692529997,1.0139050338699995,2.380752214229997
14,5.088648434009995,1.0095110166599996,2.4297884104599983
15,5.160613200480004,1.0080934888199995,2.476910548020003
16,5.224283725150003,1.0083552274800003,2.521270842680001
17,5.289215993889996,1.00969147062,2.5628531263600034
18,5.359720767959996,1.0109299344200005,2.6094388240600033
19,5.425180532300008,1.01172462112,2.653426287590003
20,5.4946789972399985,1.0450365759999993,2.698910078819998
21,5.55834584854,1.0155420296500002,2.7374815667099996
22,5.6285296241099925,1.032318056990001,2.7808001820499966
23,5.685906238210001,1.0182464188700004,2.815611210779997
24,5.748718177099996,1.0390448347399996,2.855539181719998
25,5.814928485859998,1.01192564457,2.8960757188900015
26,5.874129212189996,1.01341964193,2.9301098275400057
27,5.936055398919999,1.0162334548199998,2.966896314680002
28,5.9940653224700045,1.0146147905799998,3.0002954970199998
29,6.0586372245500035,1.0122247113500007,3.0365756024200015
30,6.120531538030005,1.0132932665799996,3.0715551333299986
31,6.178071644550004,1.0129415992599997,3.1032063850400005
32,6.235737429700005,1.0121486128899995,3.1343799273000013
33,6.296114560819998,1.043804004170001,3.16593615928
34,6.360074888680007,1.0481377224800006,3.200025408150003
35,6.423599064270003,1.0424486553599988,3.2333119915800035
36,6.477561787269998,1.02020985163,3.2611813643700014
37,6.527674399560004,1.0101440649899998,3.2873264596699996
38,6.584311432439993,1.0126299171699997,3.3151840608899987
39,6.642522630579996,1.01062855012,3.34289374992
40,6.695045231399998,1.01413658598,3.3679700252199973
41,6.750090089030006,1.0110642322100003,3.3921999245499954
42,6.810554431210005,1.0318046625000012,3.4192623368300024
43,6.855136894030004,1.0209048238299998,3.4399249253700015
44,6.913426116130006,1.035615601960001,3.4636647361600024
45,6.970863092569998,1.0144478666000003,3.487767495479998
46,7.020170039539997,1.01054249372,3.5059421978899987
47,7.06583323594,1.0112396289399999,3.523326123270002
48,7.113814620590003,1.01142672994,3.541679601539999
49,7.1620202694099975,1.0282044379600004,3.560121762789998
50,7.220204627609993,1.0156656491700002,3.580536531070003
51,7.276949856939996,1.0068657714000002,3.5988137195600007
52,7.316841150700002,1.00868403486,3.611639711209997
53,7.3565331106099965,1.00346816947,3.622050363990004
54,7.417037662460005,1.0077749329400003,3.638445282959999
55,7.4605996364599925,1.00966121872,3.6503737466299997
56,7.5099457720900045,1.0030785203300001,3.6625107270200026
57,7.561380941630009,1.0055845100799998,3.6723880075799995
58,7.597514263390001,1.00754245258,3.6795043363699964
59,7.6465905889699926,1.00761818158,3.688974071019996
60,7.683997602609989,1.0109420194899996,3.6942919839899964
61,7.720649832859994,1.00325161219,3.6978164531999953
62,7.780516470320002,1.0066106397599999,3.7040595611799993
63,7.818876883019994,1.00601795891,3.7065843525399993
64,7.85569881627999,1.00607909791,3.706717655900005
65,7.908861488050012,1.0088609545699998,3.7072473960299988
66,7.943622395040011,1.00685278045,3.706454986219995
